ID,JOB,CAR,RACE,SALARY,GENDER,SAV,OFFICER,AGE,RESPONSE
1,7,2,2,70,0,508,4,50,1
2,2,1,2,58,0,298,2,31,0
3,1,2,2,23,0,199,4,32,1
4,2,1,2,46,1,343,1,21,0
5,2,1,1,40,1,40,4,33,1
6,1,2,2,32,0,268,1,30,0
7,4,1,1,64,1,430,2,26,1
8,1,2,1,55,0,559,1,29,0
9,3,2,2,90,1,415,1,53,1
10,1,2,2,0,0,0,1,54,1
11,1,2,2,52,0,628,1,30,0
12,1,2,2,61,0,640,3,34,1
13,1,2,2,29,0,313,4,57,0
14,2,2,2,46,1,403,3,59,1
15,6,2,2,38,1,274,3,51,1
16,1,1,1,42,0,400,3,32,1
17,1,2,2,94,1,874,3,31,1
18,1,2,2,41,0,388,2,31,1
19,2,2,1,76,1,799,1,33,0
20,2,2,2,60,1,538,3,32,1
21,4,2,2,82,1,679,4,27,0
22,1,1,2,54,0,562,3,50,0
23,1,2,2,72,0,694,3,41,1
24,10,2,2,70,0,370,2,29,1
25,12,2,2,66,1,598,2,51,1
26,11,2,2,52,1,433,1,41,1
27,1,2,2,70,0,682,2,43,1
28,2,1,2,30,1,196,3,22,0
29,14,2,2,38,1,166,2,57,0
30,1,2,2,49,0,523,2,38,0
31,6,2,2,52,0,580,3,60,0
32,4,2,2,72,1,448,4,28,1
33,4,1,2,22,1,244,2,22,0
34,1,1,2,4,0,97,1,28,0
35,11,2,2,62,0,328,3,45,0
36,5,2,2,66,1,220,4,33,0
37,1,2,2,44,0,496,3,35,0
38,10,2,2,74,0,487,4,46,1
39,3,1,2,84,0,646,3,27,1
40,5,2,2,94,1,613,4,56,1
41,4,2,2,50,1,520,2,26,0
42,1,2,2,73,0,706,4,37,0
43,8,2,2,36,0,181,1,48,0
44,10,2,2,48,1,862,4,54,1
45,1,2,2,39,0,322,2,40,0
46,1,2,2,78,0,760,4,25,1
47,1,2,2,42,0,391,3,29,0
48,3,1,2,54,0,340,3,22,0
49,8,2,2,64,0,673,2,31,1
50,1,2,1,0,0,0,2,24,0
51,2,2,2,22,1,82,3,22,0
52,2,2,1,30,1,226,3,26,0
53,6,1,2,42,1,232,2,30,0
54,9,2,2,68,1,511,3,58,1
55,8,2,2,84,1,541,4,42,0
56,2,1,1,20,0,190,2,21,0
57,8,2,2,78,1,631,2,41,1
58,1,1,2,120,1,904,4,31,1
59,1,2,2,69,0,715,4,44,0
60,1,2,2,82,1,745,1,22,0
61,1,1,1,6,0,0,2,21,0
62,1,2,2,58,0,487,2,39,1
63,1,1,2,20,0,250,3,36,0
64,3,2,2,68,1,262,4,24,0
65,1,2,2,47,0,484,2,42,1
66,6,1,2,54,0,370,1,32,0
67,1,2,2,60,0,475,4,38,1
68,1,2,2,71,0,781,4,54,0
69,2,1,2,26,1,88,2,25,0
70,5,2,2,54,1,367,1,27,0
71,3,1,2,40,1,487,4,28,1
72,6,2,2,70,1,358,3,26,0
73,1,2,2,83,0,802,3,42,1
74,5,2,2,40,1,553,1,23,0
75,2,1,2,60,0,460,3,22,0
76,2,1,1,40,0,241,1,22,0
77,1,1,2,47,0,478,3,41,0
78,6,1,2,66,0,631,2,27,0
79,1,2,1,74,0,796,2,26,1
80,3,2,2,44,0,250,2,24,0
81,4,2,1,26,0,172,1,22,0
82,1,1,1,5,0,0,1,22,0
83,8,1,2,52,1,379,4,36,0
84,1,2,2,56,0,238,1,22,0
85,1,2,2,89,0,964,1,37,1
86,3,2,2,58,1,472,4,27,0
87,14,2,2,108,0,598,1,45,0
88,3,1,2,50,1,655,2,26,0
89,16,2,2,64,1,613,1,43,1
90,2,2,2,38,0,295,1,24,0
91,1,1,2,4,0,73,2,21,0
92,5,2,2,30,1,460,3,34,0
93,8,1,2,80,1,901,2,42,1
94,1,2,2,28,0,214,2,60,1
95,3,2,2,36,1,241,4,21,0
96,7,2,2,54,1,517,2,40,0
97,3,1,2,56,0,448,1,24,0
98,2,1,1,36,1,112,2,22,0
99,7,1,1,60,1,361,2,23,0
100,2,2,2,102,1,991,2,31,1
101,1,2,2,64,0,670,4,33,1
102,1,2,2,29,0,283,1,22,0
103,1,2,2,18,0,175,2,21,0
104,2,1,2,36,1,298,2,24,0
105,1,1,2,67,0,688,4,27,0
106,2,2,2,58,1,361,4,21,0
107,1,1,2,19,0,172,1,27,0
108,5,2,2,56,1,385,2,37,0
109,4,1,2,62,1,529,2,25,0
110,1,1,2,50,1,622,2,24,1
111,4,2,2,66,1,499,1,24,1
112,9,2,2,52,1,520,3,46,1
113,2,1,2,68,1,436,1,23,0
114,1,1,2,54,0,520,3,25,0
115,8,2,2,64,1,415,3,39,1
116,1,2,2,42,0,436,3,61,1
117,1,2,2,48,0,520,1,38,1
118,1,1,1,44,0,511,4,25,0
119,5,1,2,46,0,346,3,22,0
